62,47,16
38,33,45
39,70,10
61,95,94
12,21,84
33,31,86
73,48,68
99,43,70
71,50,80
84,96,98
75,84,12
97,89,62
42,45,38
0,3,57
90,98,65
12,52,58
52,61,40
64,21,1
78,93,63
97,51,56
60,51,34
73,69,75
83,84,32
84,4,95
79,50,74
69,63,55
73,75,71
14,71,49
19,22,94
70,5,12
29,2,19
60,21,63
47,75,65
46,27,86
23,66,92
88,58,86
80,67,45
34,4,16
15,11,68
44,11,83
65,37,9
17,93,69
99,12,76
23,0,15
7,27,18
8,59,74
76,65,71
48,30,15
72,13,91
19,98,56
51,43,53
21,10,29
38,75,93
53,98,69
19,67,95
76,99,81
73,67,52
3,80,18
71,94,76
69,20,85
16,22,84
97,75,5
9,73,16
15,45,68
24,30,76
78,71,44
33,10,69
90,33,68
82,9,71
77,58,76
17,82,63
43,90,43
90,97,50
91,74,33
9,20,15
17,84,54
47,72,38
18,88,83
87,63,76
17,9,92
12,75,92
53,51,37
66,93,95
46,5,15
18,48,88
27,24,49
2,40,55
3,55,35
17,21,74
13,14,4
1,12,12
42,37,64
14,88,51
8,63,60
81,53,64
0,19,51
51,4,80
51,38,29
10,76,55
69,58,66
